station_id,hour_bucket,session_count,total_kwh,total_revenue_inr,avg_duration_hours,hour,day_of_week,is_weekend
2-39-123-23,2018-06-04 16:00:00,1,0.0,0.0,0.0,16,0,0
2-39-123-23,2018-06-06 01:00:00,1,0.0,0.0,0.0,1,2,0
2-39-123-23,2018-06-06 02:00:00,1,0.0,0.0,0.0,2,2,0
2-39-123-23,2018-06-06 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-06-07 01:00:00,1,0.0,0.0,0.0,1,3,0
2-39-123-23,2018-06-07 03:00:00,1,0.0,0.0,0.0,3,3,0
2-39-123-23,2018-06-07 17:00:00,1,0.0,0.0,0.0,17,3,0
2-39-123-23,2018-06-08 03:00:00,1,0.0,0.0,0.0,3,4,0
2-39-123-23,2018-06-08 13:00:00,1,0.0,0.0,0.0,13,4,0
2-39-123-23,2018-06-08 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-06-09 01:00:00,1,0.0,0.0,0.0,1,5,1
2-39-123-23,2018-06-09 23:00:00,1,0.0,0.0,0.0,23,5,1
2-39-123-23,2018-06-10 20:00:00,1,0.0,0.0,0.0,20,6,1
2-39-123-23,2018-06-11 16:00:00,1,0.0,0.0,0.0,16,0,0
2-39-123-23,2018-06-12 02:00:00,1,0.0,0.0,0.0,2,1,0
2-39-123-23,2018-06-12 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-06-13 03:00:00,1,0.0,0.0,0.0,3,2,0
2-39-123-23,2018-06-13 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-06-13 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-06-14 01:00:00,1,0.0,0.0,0.0,1,3,0
2-39-123-23,2018-06-14 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-06-15 16:00:00,1,0.0,0.0,0.0,16,4,0
2-39-123-23,2018-06-15 18:00:00,1,0.0,0.0,0.0,18,4,0
2-39-123-23,2018-06-16 01:00:00,1,0.0,0.0,0.0,1,5,1
2-39-123-23,2018-06-16 06:00:00,1,0.0,0.0,0.0,6,5,1
2-39-123-23,2018-06-16 19:00:00,1,0.0,0.0,0.0,19,5,1
2-39-123-23,2018-06-17 23:00:00,1,0.0,0.0,0.0,23,6,1
2-39-123-23,2018-06-18 16:00:00,1,0.0,0.0,0.0,16,0,0
2-39-123-23,2018-06-19 06:00:00,1,0.0,0.0,0.0,6,1,0
2-39-123-23,2018-06-19 16:00:00,1,0.0,0.0,0.0,16,1,0
2-39-123-23,2018-06-20 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-06-21 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-06-21 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-06-21 20:00:00,1,0.0,0.0,0.0,20,3,0
2-39-123-23,2018-06-22 00:00:00,1,0.0,0.0,0.0,0,4,0
2-39-123-23,2018-06-22 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-06-23 02:00:00,1,0.0,0.0,0.0,2,5,1
2-39-123-23,2018-06-23 21:00:00,1,0.0,0.0,0.0,21,5,1
2-39-123-23,2018-06-24 03:00:00,1,0.0,0.0,0.0,3,6,1
2-39-123-23,2018-06-25 00:00:00,1,0.0,0.0,0.0,0,0,0
2-39-123-23,2018-06-25 15:00:00,1,0.0,0.0,0.0,15,0,0
2-39-123-23,2018-06-25 23:00:00,1,0.0,0.0,0.0,23,0,0
2-39-123-23,2018-06-26 08:00:00,1,0.0,0.0,0.0,8,1,0
2-39-123-23,2018-06-26 16:00:00,1,0.0,0.0,0.0,16,1,0
2-39-123-23,2018-06-27 17:00:00,1,0.0,0.0,0.0,17,2,0
2-39-123-23,2018-06-27 19:00:00,1,0.0,0.0,0.0,19,2,0
2-39-123-23,2018-06-28 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-06-29 03:00:00,1,0.0,0.0,0.0,3,4,0
2-39-123-23,2018-06-29 18:00:00,1,0.0,0.0,0.0,18,4,0
2-39-123-23,2018-06-30 21:00:00,1,0.0,0.0,0.0,21,5,1
2-39-123-23,2018-07-01 03:00:00,1,0.0,0.0,0.0,3,6,1
2-39-123-23,2018-07-01 17:00:00,1,0.0,0.0,0.0,17,6,1
2-39-123-23,2018-07-02 17:00:00,1,0.0,0.0,0.0,17,0,0
2-39-123-23,2018-07-03 16:00:00,1,0.0,0.0,0.0,16,1,0
2-39-123-23,2018-07-03 20:00:00,1,0.0,0.0,0.0,20,1,0
2-39-123-23,2018-07-03 22:00:00,1,0.0,0.0,0.0,22,1,0
